,index,resource,response,response_lower,response_upper,count
0,0,1,0.024256797113632517,0.0,0.0962835992330812,3
1,1,2,0.6404329688554538,0.6057261523119909,0.6751397853989166,3
2,2,3,0.7635284165575489,0.7324494628385549,0.7946073702765428,3
3,3,4,0.8136992252990572,0.7844476712535791,0.8429507793445354,3
4,4,5,0.8414583103383021,0.810627935153371,0.8722886855232332,3
5,5,6,0.8536250260216197,0.8245607672699988,0.8826892847732406,3
6,6,7,0.8632885660494284,0.8322640686997428,0.894313063399114,3
7,7,9,0.87745429284048,0.8468742993961549,0.9080342862848052,3
8,8,11,0.8823561158065703,0.8504272386584539,0.9142849929546866,3
9,9,14,0.8903824520186929,0.8575093998832803,0.9232555041541055,3
10,10,17,0.894455883435381,0.8634598498759836,0.9254519169947784,3
11,11,20,0.9005238251293836,0.8684828300283757,0.9325648202303914,3
12,12,25,0.9054480494200835,0.8761668108058898,0.9347292880342772,3
13,13,31,0.9153315230064348,0.8849866778784302,0.9456763681344394,3
14,14,37,0.9223059104454645,0.8925743103766067,0.9520375105143223,3
15,15,46,0.9295502503057995,0.9021933241934117,0.9569071764181873,3
16,16,56,0.9362361565439574,0.9095857702052494,0.9628865428826654,3
17,17,68,0.9428173744890175,0.9177208296723561,0.9679139193056788,3
18,18,84,0.9510051821665891,0.9301900564704977,0.9718203078626806,3
19,19,102,0.9562238706955473,0.9367537294141779,0.9756940119769166,3
20,20,125,0.9616168587382824,0.9430918145896937,0.9801419028868711,3
21,21,153,0.9661543081906828,0.9490227253510273,0.9832858910303384,3
22,22,187,0.9700684948697808,0.9538500430267942,0.9862869467127673,3
23,23,229,0.9736768145426308,0.9587012569506812,0.9886523721345803,3
24,24,280,0.9756455393361176,0.9611617353338788,0.9901293433383564,3
25,25,342,0.9789771316142403,0.9660363766095402,0.9919178866189403,3
26,26,418,0.9798778482833151,0.9669829697047846,0.9927727268618457,3
27,27,511,0.9831854463651538,0.9716358108623233,0.9947350818679843,3
28,28,625,0.9854985897532117,0.9752098171221435,0.9957873623842799,3
29,29,765,0.9861238998950969,0.9760811460228848,0.996166653767309,3
30,30,935,0.9881217433021258,0.9787835138566667,0.9974599727475848,3
31,31,1143,0.9881217433021258,0.9787835138566667,0.9974599727475848,3
32,32,1398,0.9881217433021258,0.9787835138566667,0.9974599727475848,3
33,33,1710,0.9881217433021258,0.9787835138566667,0.9974599727475848,3
34,34,2091,0.9881217433021258,0.9787835138566667,0.9974599727475848,3
35,35,2557,0.9881217433021258,0.9787835138566667,0.9974599727475848,3
36,36,3127,0.9881217433021258,0.9787835138566667,0.9974599727475848,3
37,37,3824,0.9885141167377656,0.9802979844690669,0.9967302490064642,3
38,38,4676,0.9889769872351716,0.9808145900651557,0.9971393844051875,3
39,39,5718,0.9904270011142216,0.9835329128616106,0.9973210893668325,3
40,40,6992,0.9925326427613138,0.9869136146063763,0.9981516709162513,3
41,41,8551,0.9943287800659885,0.9904368936151866,0.9982206665167903,3
42,42,10456,0.9955756593846333,0.9928664523019812,0.9982848664672854,3
43,43,12787,0.9971025216698074,0.9951323605955997,0.9990726827440151,3
44,44,15637,0.9980898834229678,0.9965584782208909,0.9996212886250446,3
45,45,19121,0.9989413431642005,0.9977928993343302,1.0,3
46,46,23383,0.9992195505302539,0.9989366232695509,0.9995024777909569,3
47,47,28594,0.9994393629632535,0.9994159990403048,0.9994627268862023,3
48,48,34967,0.9996214808835883,0.9995981169606395,0.999644844806537,3
49,49,42760,0.9997356026908033,0.9997122387678545,0.9997589666137521,3
50,50,52290,0.9998844442866822,0.9998610803637334,0.999907808209631,3
51,51,63943,0.9999543253783769,0.9999543253783769,0.9999543253783769,3
52,52,78194,0.9999773386646057,0.9999773386646057,0.9999773386646057,3
53,53,95621,0.9999833296457465,0.9999833296457465,0.9999833296457465,3
54,54,1069314,0.9999833296457465,0.9999833296457465,0.9999833296457465,3
55,55,4372803,0.9999833296457465,0.9999833296457465,0.9999833296457465,3
56,56,5347357,0.9999833296457465,0.9999833296457465,0.9999833296457465,3
57,57,6539107,0.9999833296457465,0.9999833296457465,0.9999833296457465,3
58,58,9778606,0.9999833296457465,0.9999833296457465,0.9999833296457465,3
59,59,11957936,0.9999833296457465,0.9999833296457465,0.9999833296457465,3
60,60,14622966,0.9999833296457465,0.9999833296457465,0.9999833296457465,3
61,61,17881944,0.9999833296457465,0.9999833296457465,0.9999833296457465,3
62,62,21867241,0.9999898039071603,0.9999898039071603,0.9999898039071603,3
63,63,26740730,0.9999974562148392,0.9999974562148392,0.9999974562148392,3
64,64,32700359,1.0000000000000002,1.0000000000000002,1.0,3
65,65,39988194,1.0000000000000002,1.0000000000000002,1.0,3
66,66,48900247,1.0000000000000002,1.0000000000000002,1.0,3
67,67,59798504,1.0000000000000002,1.0000000000000002,1.0,3
68,68,73125623,1.0000000000000002,1.0000000000000002,1.0,3
69,69,89422919,1.0000000000000002,1.0000000000000002,1.0,3
70,70,109352346,1.0000000000000002,1.0000000000000002,1.0,3
71,71,133723387,1.0000000000000002,1.0000000000000002,1.0,3
72,72,163525931,1.0000000000000002,1.0000000000000002,1.0,3
73,73,199970483,1.0000000000000002,1.0000000000000002,1.0,3
74,74,244537325,1.0000000000000002,1.0000000000000002,1.0,3
75,75,299036651,1.0000000000000002,1.0000000000000002,1.0,3
76,76,365682085,1.0000000000000002,1.0000000000000002,1.0,3
77,77,447180593,1.0000000000000002,1.0000000000000002,1.0,3
78,78,546842437,1.0000000000000002,1.0000000000000002,1.0,3
79,79,668715629,1.0000000000000002,1.0000000000000002,1.0,3
80,80,817750346,1.0000000000000002,1.0000000000000002,1.0,3
81,81,999999999,1.0000000000000002,1.0000000000000002,1.0,3
